date,transaction_description,category,amount,type,year,month,years_month,abs_amount
2021-02-18,Quite budget window hour some.,Travel,1301.99,expense,2021,February,2021-02,1301.99
2021-02-19,Voice sense current meeting matter.,Investment,804.0,expense,2021,February,2021-02,804.0
2021-02-20,Case four.,Salary,241.08,expense,2021,February,2021-02,241.08
2021-02-21,Lead paper middle foreign party.,Utilities,783.41,expense,2021,February,2021-02,783.41
2021-02-23,Wrong school federal from.,Shopping,1178.81,expense,2021,February,2021-02,1178.81
2021-02-24,Majority none little admit former.,Shopping,1313.29,expense,2021,February,2021-02,1313.29
2021-02-27,On someone rise read.,Shopping,1878.72,expense,2021,February,2021-02,1878.72
2021-02-28,Listen whose situation simply officer.,Health & Fitness,442.37,expense,2021,February,2021-02,442.37
2021-03-02,Lose modern return simple herself.,Entertainment,1712.35,expense,2021,March,2021-03,1712.35
2021-03-02,Occur red.,Other,4960.0,income,2021,March,2021-03,4960.0
2021-03-02,Kid industry.,Health & Fitness,130.49,expense,2021,March,2021-03,130.49
2021-03-04,Improve simple turn.,Rent,1898.53,expense,2021,March,2021-03,1898.53
2021-03-05,Million night your.,Rent,1328.91,expense,2021,March,2021-03,1328.91
2021-03-05,Heavy what least mouth national.,Food & Drink,110.65,expense,2021,March,2021-03,110.65
2021-03-07,Machine whatever everything fear walk.,Utilities,1576.09,expense,2021,March,2021-03,1576.09
2021-03-07,Relate real major.,Entertainment,1176.9,expense,2021,March,2021-03,1176.9
2021-03-08,Night various return explain.,Entertainment,663.83,expense,2021,March,2021-03,663.83
2021-03-09,Here woman stand west source.,Investment,2771.0,expense,2021,March,2021-03,2771.0
2021-03-09,Explain research.,Utilities,1975.18,expense,2021,March,2021-03,1975.18
2021-03-10,Pretty section degree still.,Utilities,228.75,expense,2021,March,2021-03,228.75
2021-03-12,Receive case past only drug.,Utilities,39.57,expense,2021,March,2021-03,39.57
2021-03-15,Point appear including.,Entertainment,1181.82,expense,2021,March,2021-03,1181.82
2021-03-15,Race case.,Other,929.0,income,2021,March,2021-03,929.0
2021-03-16,Imagine various there.,Other,4809.0,income,2021,March,2021-03,4809.0
2021-03-16,Sense expert experience.,Investment,4401.0,expense,2021,March,2021-03,4401.0
2021-03-17,Present discussion.,Health & Fitness,1031.34,expense,2021,March,2021-03,1031.34
2021-03-17,Individual study value.,Investment,855.0,expense,2021,March,2021-03,855.0
2021-03-18,Small control see the.,Travel,921.5,expense,2021,March,2021-03,921.5
2021-03-19,Across nothing.,Food & Drink,1997.19,expense,2021,March,2021-03,1997.19
2021-03-20,Expect writer myself management.,Shopping,1375.33,expense,2021,March,2021-03,1375.33
2021-03-21,Life cover both class.,Salary,156.25,expense,2021,March,2021-03,156.25
2021-03-22,Responsibility add front.,Investment,1038.0,expense,2021,March,2021-03,1038.0
2021-03-22,Purpose cover particularly police if.,Other,3620.0,income,2021,March,2021-03,3620.0
2021-03-22,Foreign husband believe word local.,Travel,912.89,expense,2021,March,2021-03,912.89
2021-03-23,End dog.,Rent,1588.26,expense,2021,March,2021-03,1588.26
2021-03-23,Few reveal activity president.,Investment,4023.0,expense,2021,March,2021-03,4023.0
2021-03-24,Property let.,Entertainment,833.49,expense,2021,March,2021-03,833.49
2021-03-25,Rather type thousand show.,Shopping,837.82,expense,2021,March,2021-03,837.82
2021-03-26,Happen determine whatever.,Other,3060.0,income,2021,March,2021-03,3060.0
2021-03-27,Lawyer writer health.,Health & Fitness,1907.65,expense,2021,March,2021-03,1907.65
2021-03-28,Serious soon stay seven.,Salary,143.6,expense,2021,March,2021-03,143.6
2021-03-29,Land region back nor article.,Rent,869.43,expense,2021,March,2021-03,869.43
2021-03-30,Dark mr clearly take.,Health & Fitness,1625.42,expense,2021,March,2021-03,1625.42
2021-04-01,Quite response.,Health & Fitness,1343.33,expense,2021,April,2021-04,1343.33
2021-04-02,Together knowledge.,Shopping,1737.5,expense,2021,April,2021-04,1737.5
2021-04-03,Car indeed nor next.,Travel,1204.82,expense,2021,April,2021-04,1204.82
2021-04-03,How staff.,Entertainment,317.91,expense,2021,April,2021-04,317.91
2021-04-03,Authority interest red must art.,Rent,706.73,expense,2021,April,2021-04,706.73
2021-04-08,All important shoulder she.,Rent,1527.59,expense,2021,April,2021-04,1527.59
2021-04-08,Year him thank trade.,Shopping,1691.86,expense,2021,April,2021-04,1691.86
2021-04-09,Radio product.,Food & Drink,1221.9,expense,2021,April,2021-04,1221.9
2021-04-11,President girl condition.,Travel,67.62,expense,2021,April,2021-04,67.62
2021-04-11,More road development about.,Travel,1843.86,expense,2021,April,2021-04,1843.86
2021-04-12,Leg rest interest.,Utilities,1741.03,expense,2021,April,2021-04,1741.03
2021-04-13,Easy get every.,Shopping,148.47,expense,2021,April,2021-04,148.47
2021-04-18,Special information.,Food & Drink,192.6,expense,2021,April,2021-04,192.6
2021-04-19,Deal beyond almost.,Shopping,845.47,expense,2021,April,2021-04,845.47
2021-04-19,Scientist i doctor.,Health & Fitness,630.16,expense,2021,April,2021-04,630.16
2021-04-19,Cell year.,Rent,1767.85,expense,2021,April,2021-04,1767.85
2021-04-19,Five our pull fly few.,Investment,1168.0,expense,2021,April,2021-04,1168.0
2021-04-21,Determine feel article we they.,Shopping,976.47,expense,2021,April,2021-04,976.47
2021-04-23,Quickly new another general poor.,Travel,438.98,expense,2021,April,2021-04,438.98
2021-04-23,Five indicate chance heavy senior.,Health & Fitness,865.53,expense,2021,April,2021-04,865.53
2021-04-24,Support feeling remain.,Salary,1058.6,expense,2021,April,2021-04,1058.6
2021-04-27,None whose.,Entertainment,796.57,expense,2021,April,2021-04,796.57
2021-04-27,Care drug data position two.,Food & Drink,416.8,expense,2021,April,2021-04,416.8
2021-04-27,Movie stop.,Utilities,1530.68,expense,2021,April,2021-04,1530.68
2021-04-30,Help painting always.,Rent,25.38,expense,2021,April,2021-04,25.38
2021-05-02,Source onto provide.,Utilities,267.08,expense,2021,May,2021-05,267.08
2021-05-04,Decade trade field training.,Entertainment,1005.52,expense,2021,May,2021-05,1005.52
2021-05-04,While bring yourself.,Health & Fitness,153.43,expense,2021,May,2021-05,153.43
2021-05-06,Receive region however.,Food & Drink,878.08,expense,2021,May,2021-05,878.08
2021-05-07,Focus executive letter possible final.,Rent,1725.6,expense,2021,May,2021-05,1725.6
2021-05-07,Third letter sort reveal seven.,Shopping,1421.9,expense,2021,May,2021-05,1421.9
2021-05-07,Have including none.,Rent,816.01,expense,2021,May,2021-05,816.01
2021-05-10,Administration network once.,Utilities,1604.63,expense,2021,May,2021-05,1604.63
2021-05-11,Charge form here.,Health & Fitness,185.38,expense,2021,May,2021-05,185.38
2021-05-11,Nearly want front shake.,Entertainment,877.0,expense,2021,May,2021-05,877.0
2021-05-12,Leave run goal cause.,Rent,797.58,expense,2021,May,2021-05,797.58
2021-05-14,Contain threat wrong whatever.,Health & Fitness,450.93,expense,2021,May,2021-05,450.93
2021-05-14,Stuff avoid.,Rent,1025.86,expense,2021,May,2021-05,1025.86
2021-05-15,Include successful.,Investment,3362.0,expense,2021,May,2021-05,3362.0
2021-05-17,Religious across.,Utilities,480.18,expense,2021,May,2021-05,480.18
2021-05-19,Health pay project pattern.,Investment,1921.0,expense,2021,May,2021-05,1921.0
2021-05-22,Administration mother in admit.,Rent,362.52,expense,2021,May,2021-05,362.52
2021-05-23,Within admit spend purpose south.,Salary,933.27,expense,2021,May,2021-05,933.27
2021-05-24,Truth modern.,Salary,1365.46,expense,2021,May,2021-05,1365.46
2021-05-24,People education great.,Health & Fitness,1729.85,expense,2021,May,2021-05,1729.85
2021-05-24,Health image.,Utilities,885.13,expense,2021,May,2021-05,885.13
2021-05-25,Wrong difficult range.,Travel,1594.7,expense,2021,May,2021-05,1594.7
2021-05-25,Behavior here.,Health & Fitness,1019.6,expense,2021,May,2021-05,1019.6
2021-05-27,Argue act commercial matter.,Salary,84.84,expense,2021,May,2021-05,84.84
2021-05-27,Not teach believe month.,Travel,162.69,expense,2021,May,2021-05,162.69
2021-05-29,Deep test thought.,Rent,1233.87,expense,2021,May,2021-05,1233.87
2021-05-30,Another avoid understand.,Salary,1164.86,expense,2021,May,2021-05,1164.86
2021-05-31,Probably conference sure administration debate.,Food & Drink,904.97,expense,2021,May,2021-05,904.97
2021-05-31,Up federal nor note.,Entertainment,649.84,expense,2021,May,2021-05,649.84
2021-06-02,Forward sense cause write right.,Utilities,1915.87,expense,2021,June,2021-06,1915.87
2021-06-02,Approach join stuff future.,Health & Fitness,1964.95,expense,2021,June,2021-06,1964.95
2021-06-03,Ahead event yeah make.,Investment,820.0,expense,2021,June,2021-06,820.0
2021-06-06,Wait it quickly produce beat.,Salary,1982.06,expense,2021,June,2021-06,1982.06
2021-06-06,Require bank child.,Utilities,734.16,expense,2021,June,2021-06,734.16
2021-06-06,First blood accept final.,Shopping,823.45,expense,2021,June,2021-06,823.45
2021-06-09,Bill beautiful issue.,Food & Drink,1580.56,expense,2021,June,2021-06,1580.56
2021-06-11,Mention billion bed never others.,Rent,666.08,expense,2021,June,2021-06,666.08
2021-06-11,Activity including single right.,Shopping,575.45,expense,2021,June,2021-06,575.45
2021-06-14,Occur college herself.,Utilities,673.39,expense,2021,June,2021-06,673.39
2021-06-15,Feeling manage as.,Utilities,1834.33,expense,2021,June,2021-06,1834.33
2021-06-16,Inside machine baby.,Shopping,266.61,expense,2021,June,2021-06,266.61
2021-06-20,Result many pattern.,Rent,626.07,expense,2021,June,2021-06,626.07
2021-06-20,Career according.,Health & Fitness,1628.24,expense,2021,June,2021-06,1628.24
2021-06-22,Success here television key.,Rent,1295.59,expense,2021,June,2021-06,1295.59
2021-06-23,Carry fly water cut fire.,Health & Fitness,46.28,expense,2021,June,2021-06,46.28
2021-06-24,Fact reason make office.,Entertainment,690.05,expense,2021,June,2021-06,690.05
2021-06-26,Heavy staff hotel box.,Entertainment,460.82,expense,2021,June,2021-06,460.82
2021-06-27,Or nation race.,Investment,2923.0,expense,2021,June,2021-06,2923.0
2021-06-28,Well left.,Rent,1020.3,expense,2021,June,2021-06,1020.3
2021-06-28,Something story attorney summer.,Food & Drink,1327.24,expense,2021,June,2021-06,1327.24
2021-06-28,Cause field education child.,Utilities,1198.52,expense,2021,June,2021-06,1198.52
2021-06-28,Available wrong look husband.,Investment,1856.0,expense,2021,June,2021-06,1856.0
2021-06-29,Myself so growth time.,Food & Drink,827.61,expense,2021,June,2021-06,827.61
2021-07-04,Point be shoulder price great.,Entertainment,1939.48,expense,2021,July,2021-07,1939.48
2021-07-04,Worker quality hundred sell whole.,Salary,475.67,expense,2021,July,2021-07,475.67
2021-07-04,Action else.,Salary,1808.91,expense,2021,July,2021-07,1808.91
2021-07-06,Newspaper reach determine hear leg.,Other,4282.0,income,2021,July,2021-07,4282.0
2021-07-07,General agency bit.,Shopping,1010.78,expense,2021,July,2021-07,1010.78
2021-07-09,Break wait.,Utilities,1635.61,expense,2021,July,2021-07,1635.61
2021-07-09,Find lay deal lot.,Utilities,1747.27,expense,2021,July,2021-07,1747.27
2021-07-10,Just recent.,Other,3540.0,income,2021,July,2021-07,3540.0
2021-07-10,Feel special.,Rent,1425.69,expense,2021,July,2021-07,1425.69
2021-07-11,Support possible.,Rent,577.28,expense,2021,July,2021-07,577.28
2021-07-11,Might necessary former.,Travel,904.15,expense,2021,July,2021-07,904.15
2021-07-11,Discussion if continue policy.,Shopping,192.51,expense,2021,July,2021-07,192.51
2021-07-12,Ahead pass culture or.,Salary,1770.41,expense,2021,July,2021-07,1770.41
2021-07-13,Relate day.,Shopping,115.98,expense,2021,July,2021-07,115.98
2021-07-14,Big the cost for leader.,Entertainment,778.47,expense,2021,July,2021-07,778.47
2021-07-15,Month police others particularly.,Investment,730.0,expense,2021,July,2021-07,730.0
2021-07-19,Girl suddenly.,Rent,1679.96,expense,2021,July,2021-07,1679.96
2021-07-19,Try opportunity public.,Utilities,283.82,expense,2021,July,2021-07,283.82
2021-07-23,Draw bring health.,Salary,1395.18,expense,2021,July,2021-07,1395.18
2021-07-23,Home others offer institution main.,Other,4174.0,income,2021,July,2021-07,4174.0
2021-07-24,Never majority cell.,Rent,47.82,expense,2021,July,2021-07,47.82
2021-07-28,People tend weight machine.,Utilities,1102.12,expense,2021,July,2021-07,1102.12
2021-07-29,White measure manager range.,Shopping,231.26,expense,2021,July,2021-07,231.26
2021-08-02,Major bar air set.,Travel,252.48,expense,2021,August,2021-08,252.48
2021-08-06,Ever mrs.,Salary,134.99,expense,2021,August,2021-08,134.99
2021-08-07,Not significant manager member.,Salary,1197.51,expense,2021,August,2021-08,1197.51
2021-08-07,Environmental myself.,Investment,1676.0,expense,2021,August,2021-08,1676.0
2021-08-08,State among rest national wrong.,Food & Drink,1233.47,expense,2021,August,2021-08,1233.47
2021-08-09,Fear yourself last.,Shopping,382.75,expense,2021,August,2021-08,382.75
2021-08-11,Keep yes.,Health & Fitness,144.68,expense,2021,August,2021-08,144.68
2021-08-13,Specific onto go.,Food & Drink,787.0,expense,2021,August,2021-08,787.0
2021-08-13,Pattern size spend.,Shopping,1962.27,expense,2021,August,2021-08,1962.27
2021-08-15,Go exactly much food region.,Food & Drink,720.62,expense,2021,August,2021-08,720.62
2021-08-16,Environment teach world quickly believe.,Investment,1349.0,expense,2021,August,2021-08,1349.0
2021-08-18,Yeah term.,Health & Fitness,275.49,expense,2021,August,2021-08,275.49
2021-08-20,Economic represent stock.,Health & Fitness,1628.88,expense,2021,August,2021-08,1628.88
2021-08-21,Central plan physical heart.,Other,4420.0,income,2021,August,2021-08,4420.0
2021-08-21,Idea seek.,Utilities,135.57,expense,2021,August,2021-08,135.57
2021-08-22,Wear force able similar.,Salary,83.6,expense,2021,August,2021-08,83.6
2021-08-23,Play recently sure somebody.,Entertainment,1772.72,expense,2021,August,2021-08,1772.72
2021-08-24,Why station manager.,Travel,1035.61,expense,2021,August,2021-08,1035.61
2021-08-25,Front official not.,Salary,514.09,expense,2021,August,2021-08,514.09
2021-08-27,Thus several animal phone.,Entertainment,579.36,expense,2021,August,2021-08,579.36
2021-08-29,Buy tax.,Food & Drink,1732.94,expense,2021,August,2021-08,1732.94
2021-09-05,A when dark read.,Rent,1600.69,expense,2021,September,2021-09,1600.69
2021-09-06,City usually ever.,Shopping,1489.18,expense,2021,September,2021-09,1489.18
2021-09-09,Bar professor power.,Shopping,684.68,expense,2021,September,2021-09,684.68
2021-09-09,Personal rise sense investment.,Other,3509.0,income,2021,September,2021-09,3509.0
2021-09-09,Ability live.,Travel,1604.28,expense,2021,September,2021-09,1604.28
2021-09-10,Difficult quite act receive stage.,Rent,866.91,expense,2021,September,2021-09,866.91
2021-09-11,Local director become.,Utilities,1095.49,expense,2021,September,2021-09,1095.49
2021-09-11,Finish thing.,Rent,662.56,expense,2021,September,2021-09,662.56
2021-09-11,Similar send card year.,Salary,1209.22,expense,2021,September,2021-09,1209.22
2021-09-11,Most across.,Salary,709.58,expense,2021,September,2021-09,709.58
2021-09-15,Goal defense security turn.,Other,4063.0,income,2021,September,2021-09,4063.0
2021-09-16,Beautiful beyond sell.,Food & Drink,159.33,expense,2021,September,2021-09,159.33
2021-09-16,White fire cause everybody.,Health & Fitness,1031.04,expense,2021,September,2021-09,1031.04
2021-09-17,Network outside parent.,Utilities,1906.05,expense,2021,September,2021-09,1906.05
2021-09-17,Day parent country.,Other,785.0,income,2021,September,2021-09,785.0
2021-09-19,Position six soldier.,Investment,3500.0,expense,2021,September,2021-09,3500.0
2021-09-19,History drop point audience.,Food & Drink,1214.14,expense,2021,September,2021-09,1214.14
2021-09-19,Value car team nothing.,Health & Fitness,750.31,expense,2021,September,2021-09,750.31
2021-09-19,Raise several west side admit.,Utilities,1063.63,expense,2021,September,2021-09,1063.63
2021-09-20,Energy always.,Travel,506.73,expense,2021,September,2021-09,506.73
2021-09-21,Media pick may indeed.,Investment,4588.0,expense,2021,September,2021-09,4588.0
2021-09-28,Policy mrs.,Rent,530.94,expense,2021,September,2021-09,530.94
2021-10-01,Base bad tv.,Salary,437.0,expense,2021,October,2021-10,437.0
2021-10-07,Force only shake power poor.,Salary,408.35,expense,2021,October,2021-10,408.35
2021-10-08,Role suffer around beat.,Investment,4203.0,expense,2021,October,2021-10,4203.0
2021-10-13,Law participant.,Other,1219.0,income,2021,October,2021-10,1219.0
2021-10-13,Budget remain reduce.,Health & Fitness,1339.0,expense,2021,October,2021-10,1339.0
2021-10-13,Well mission situation result.,Travel,1783.75,expense,2021,October,2021-10,1783.75
2021-10-16,Camera sit environmental though.,Utilities,1589.46,expense,2021,October,2021-10,1589.46
2021-10-20,Southern evening ask republican.,Rent,1970.41,expense,2021,October,2021-10,1970.41
2021-10-21,Baby lawyer growth matter note.,Entertainment,1582.84,expense,2021,October,2021-10,1582.84
2021-10-22,Effort bill off.,Other,4328.0,income,2021,October,2021-10,4328.0
2021-10-24,Scientist able teach.,Utilities,1227.78,expense,2021,October,2021-10,1227.78
2021-10-24,Animal hair turn.,Other,3761.0,income,2021,October,2021-10,3761.0
2021-10-27,Need trial.,Salary,1056.13,expense,2021,October,2021-10,1056.13
2021-10-27,Focus indicate result.,Rent,259.4,expense,2021,October,2021-10,259.4
2021-10-30,Number budget.,Rent,905.45,expense,2021,October,2021-10,905.45
2021-11-03,Development middle animal.,Health & Fitness,265.39,expense,2021,November,2021-11,265.39
2021-11-04,Theory tend.,Utilities,1537.89,expense,2021,November,2021-11,1537.89
2021-11-05,Beat lead hard factor.,Investment,1517.0,expense,2021,November,2021-11,1517.0
2021-11-05,Drug happy will young simply.,Travel,337.67,expense,2021,November,2021-11,337.67
2021-11-06,Character usually agency.,Entertainment,698.59,expense,2021,November,2021-11,698.59
2021-11-07,Player really act friend.,Travel,1693.41,expense,2021,November,2021-11,1693.41
2021-11-10,Billion morning draw.,Travel,259.09,expense,2021,November,2021-11,259.09
2021-11-15,Win central.,Rent,1010.12,expense,2021,November,2021-11,1010.12
2021-11-16,Analysis discuss.,Investment,1902.0,expense,2021,November,2021-11,1902.0
2021-11-17,Red head window be.,Health & Fitness,1686.63,expense,2021,November,2021-11,1686.63
2021-11-18,Card star avoid nothing.,Food & Drink,171.63,expense,2021,November,2021-11,171.63
2021-11-18,Door end fire.,Travel,1305.75,expense,2021,November,2021-11,1305.75
2021-11-19,Fish evening avoid dark.,Shopping,1240.04,expense,2021,November,2021-11,1240.04
2021-11-21,Choice clearly.,Other,2974.0,income,2021,November,2021-11,2974.0
2021-11-21,Image movie who debate.,Shopping,601.89,expense,2021,November,2021-11,601.89
2021-11-21,Enter build citizen rather.,Investment,1794.0,expense,2021,November,2021-11,1794.0
2021-11-23,Structure foreign before.,Salary,934.24,expense,2021,November,2021-11,934.24
2021-11-26,How any federal star.,Utilities,632.04,expense,2021,November,2021-11,632.04
2021-11-27,Weight take.,Health & Fitness,1950.99,expense,2021,November,2021-11,1950.99
2021-11-28,Economic left sound cause activity.,Other,4718.0,income,2021,November,2021-11,4718.0
2021-12-01,Cup hundred rather.,Health & Fitness,491.06,expense,2021,December,2021-12,491.06
2021-12-02,Only true avoid young cup.,Other,2530.0,income,2021,December,2021-12,2530.0
2021-12-03,Begin suggest speak.,Investment,2877.0,expense,2021,December,2021-12,2877.0
2021-12-03,Walk anything.,Shopping,504.06,expense,2021,December,2021-12,504.06
2021-12-08,Start house ahead raise.,Utilities,1628.82,expense,2021,December,2021-12,1628.82
2021-12-09,Democrat cost evidence third.,Health & Fitness,387.77,expense,2021,December,2021-12,387.77
2021-12-09,People early far include nearly.,Other,4585.0,income,2021,December,2021-12,4585.0
2021-12-11,Evidence case.,Salary,56.12,expense,2021,December,2021-12,56.12
2021-12-12,Eat yes myself affect him.,Salary,1933.71,expense,2021,December,2021-12,1933.71
2021-12-13,Name machine tree maybe.,Health & Fitness,106.83,expense,2021,December,2021-12,106.83
2021-12-13,Conference five despite.,Salary,578.64,expense,2021,December,2021-12,578.64
2021-12-15,Speak line.,Investment,4030.0,expense,2021,December,2021-12,4030.0
2021-12-15,Yourself wind beyond prevent entire.,Other,3496.0,income,2021,December,2021-12,3496.0
2021-12-16,Offer work home.,Health & Fitness,100.03,expense,2021,December,2021-12,100.03
2021-12-19,Door fish scene.,Investment,3469.0,expense,2021,December,2021-12,3469.0
2021-12-20,Agreement red way nor none.,Rent,778.83,expense,2021,December,2021-12,778.83
2021-12-20,My compare also argue.,Travel,1652.37,expense,2021,December,2021-12,1652.37
2021-12-23,Money a.,Rent,266.04,expense,2021,December,2021-12,266.04
2021-12-24,Future concern sort.,Other,3277.0,income,2021,December,2021-12,3277.0
2021-12-26,Against only.,Health & Fitness,1512.38,expense,2021,December,2021-12,1512.38
2021-12-28,Suffer team.,Other,4596.0,income,2021,December,2021-12,4596.0
2021-12-31,Relate product only from.,Investment,1622.0,expense,2021,December,2021-12,1622.0
2022-01-01,Wish run join.,Salary,1043.47,expense,2022,January,2022-01,1043.47
2022-01-03,Company why really up.,Investment,3186.0,expense,2022,January,2022-01,3186.0
2022-01-03,Program sport her.,Health & Fitness,333.38,expense,2022,January,2022-01,333.38
2022-01-03,Concern ability reduce.,Travel,1191.51,expense,2022,January,2022-01,1191.51
2022-01-04,Surface side nothing consider.,Salary,1420.39,expense,2022,January,2022-01,1420.39
2022-01-05,Determine not view cell seat.,Food & Drink,743.03,expense,2022,January,2022-01,743.03
2022-01-06,Word collection those become.,Shopping,1171.57,expense,2022,January,2022-01,1171.57
2022-01-08,Activity decide really go.,Food & Drink,1197.85,expense,2022,January,2022-01,1197.85
2022-01-09,Answer just.,Entertainment,1445.59,expense,2022,January,2022-01,1445.59
2022-01-13,This manage her.,Utilities,1053.22,expense,2022,January,2022-01,1053.22
2022-01-13,Big look tell prepare.,Shopping,304.07,expense,2022,January,2022-01,304.07
2022-01-14,Later son almost.,Food & Drink,1149.41,expense,2022,January,2022-01,1149.41
2022-01-16,End bit game thousand.,Entertainment,47.69,expense,2022,January,2022-01,47.69
2022-01-16,Natural together.,Utilities,831.79,expense,2022,January,2022-01,831.79
2022-01-18,Order party lot all.,Salary,1746.91,expense,2022,January,2022-01,1746.91
2022-01-18,Threat church big day couple.,Food & Drink,1414.49,expense,2022,January,2022-01,1414.49
2022-01-21,Enter example down anyone occur.,Health & Fitness,1996.26,expense,2022,January,2022-01,1996.26
2022-01-21,Approach about because.,Shopping,634.37,expense,2022,January,2022-01,634.37
2022-01-22,Best deal point.,Other,4975.0,income,2022,January,2022-01,4975.0
2022-01-23,Such final however major.,Travel,1224.05,expense,2022,January,2022-01,1224.05
2022-01-24,Politics hold.,Investment,2785.0,expense,2022,January,2022-01,2785.0
2022-01-28,Hard knowledge enjoy let.,Entertainment,1883.56,expense,2022,January,2022-01,1883.56
2022-02-01,Nor character recent.,Travel,1412.75,expense,2022,February,2022-02,1412.75
2022-02-02,Property space.,Salary,640.91,expense,2022,February,2022-02,640.91
2022-02-05,Dinner article hit mission whole.,Travel,582.7,expense,2022,February,2022-02,582.7
2022-02-05,Think live bad total research.,Shopping,1792.56,expense,2022,February,2022-02,1792.56
2022-02-06,Too song quality per build.,Health & Fitness,1909.67,expense,2022,February,2022-02,1909.67
2022-02-08,We cold deep.,Travel,93.71,expense,2022,February,2022-02,93.71
2022-02-08,Amount bad raise.,Rent,699.26,expense,2022,February,2022-02,699.26
2022-02-09,Challenge organization floor road southern.,Travel,1497.2,expense,2022,February,2022-02,1497.2
2022-02-10,News need task mind.,Travel,1866.72,expense,2022,February,2022-02,1866.72
2022-02-10,Onto site both change note.,Utilities,227.36,expense,2022,February,2022-02,227.36
2022-02-10,Understand none.,Entertainment,492.49,expense,2022,February,2022-02,492.49
2022-02-10,Test they there.,Entertainment,1279.51,expense,2022,February,2022-02,1279.51
2022-02-11,Pressure occur list common.,Other,3205.0,income,2022,February,2022-02,3205.0
2022-02-14,Peace race i.,Rent,1365.57,expense,2022,February,2022-02,1365.57
2022-02-17,Real any little environmental.,Investment,3833.0,expense,2022,February,2022-02,3833.0
2022-02-17,Full soldier.,Salary,960.12,expense,2022,February,2022-02,960.12
2022-02-17,Successful teach range.,Other,3131.0,income,2022,February,2022-02,3131.0
2022-02-17,Feel season similar.,Food & Drink,1816.79,expense,2022,February,2022-02,1816.79
2022-02-18,Rock painting become.,Investment,4883.0,expense,2022,February,2022-02,4883.0
2022-02-21,Tree imagine machine.,Food & Drink,1827.33,expense,2022,February,2022-02,1827.33
2022-02-22,Start middle city find.,Investment,797.0,expense,2022,February,2022-02,797.0
2022-02-22,Career surface these ahead.,Shopping,1578.04,expense,2022,February,2022-02,1578.04
2022-02-25,Student economic lead.,Other,806.0,income,2022,February,2022-02,806.0
2022-02-27,Ever statement measure.,Investment,3244.0,expense,2022,February,2022-02,3244.0
2022-03-01,Drop major.,Salary,1779.63,expense,2022,March,2022-03,1779.63
2022-03-02,Whether listen necessary.,Other,2735.0,income,2022,March,2022-03,2735.0
2022-03-04,Study else store.,Investment,3208.0,expense,2022,March,2022-03,3208.0
2022-03-05,Agree anyone take.,Other,2607.0,income,2022,March,2022-03,2607.0
2022-03-07,Positive question especially.,Food & Drink,1475.87,expense,2022,March,2022-03,1475.87
2022-03-07,After sister should across treatment.,Entertainment,359.23,expense,2022,March,2022-03,359.23
2022-03-12,Song difference part wall require.,Shopping,1655.71,expense,2022,March,2022-03,1655.71
2022-03-14,Time surface learn design.,Rent,807.66,expense,2022,March,2022-03,807.66
2022-03-17,Station however bill memory production.,Investment,4411.0,expense,2022,March,2022-03,4411.0
2022-03-17,Positive participant fear blue as.,Entertainment,23.59,expense,2022,March,2022-03,23.59
2022-03-18,Technology end represent throughout.,Salary,1509.98,expense,2022,March,2022-03,1509.98
2022-03-18,Change she tonight.,Travel,1169.1,expense,2022,March,2022-03,1169.1
2022-03-18,Race return pretty young.,Travel,1310.83,expense,2022,March,2022-03,1310.83
2022-03-20,Identify say on yes.,Food & Drink,1338.89,expense,2022,March,2022-03,1338.89
2022-03-20,Risk develop movement size.,Utilities,816.78,expense,2022,March,2022-03,816.78
2022-03-22,Feel color price next.,Travel,1383.68,expense,2022,March,2022-03,1383.68
2022-03-23,Likely scientist.,Travel,741.41,expense,2022,March,2022-03,741.41
2022-03-23,Water tonight pressure.,Utilities,961.58,expense,2022,March,2022-03,961.58
2022-03-24,Development the inside thought.,Health & Fitness,837.53,expense,2022,March,2022-03,837.53
2022-03-25,One less brother.,Salary,1517.13,expense,2022,March,2022-03,1517.13
2022-03-26,Oil per line create build.,Entertainment,1526.1,expense,2022,March,2022-03,1526.1
2022-03-27,Fear approach take case customer.,Rent,1055.76,expense,2022,March,2022-03,1055.76
2022-03-28,Throughout would century television congress.,Health & Fitness,165.42,expense,2022,March,2022-03,165.42
2022-03-28,Forward would finish around.,Food & Drink,1659.26,expense,2022,March,2022-03,1659.26
2022-03-28,Decide similar office.,Entertainment,1149.68,expense,2022,March,2022-03,1149.68
2022-03-28,Size sister can its.,Other,4762.0,income,2022,March,2022-03,4762.0
2022-03-29,Investment local above move.,Entertainment,1436.67,expense,2022,March,2022-03,1436.67
2022-03-29,Throughout series.,Salary,1619.3,expense,2022,March,2022-03,1619.3
2022-03-31,Adult above safe.,Shopping,919.03,expense,2022,March,2022-03,919.03
2022-03-31,Fine bill me fill.,Other,3024.0,income,2022,March,2022-03,3024.0
2022-03-31,Fear fact.,Shopping,516.37,expense,2022,March,2022-03,516.37
2022-04-01,Model its rather card you.,Investment,1098.0,expense,2022,April,2022-04,1098.0
2022-04-01,Seek close trade speech.,Other,1022.0,income,2022,April,2022-04,1022.0
2022-04-01,Difference world deep.,Food & Drink,1869.82,expense,2022,April,2022-04,1869.82
2022-04-01,Mean but represent society heart.,Other,759.0,income,2022,April,2022-04,759.0
2022-04-02,Perhaps order answer blue structure.,Utilities,1540.25,expense,2022,April,2022-04,1540.25
